x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,,
1,1,1,1,1,1,1,1,1,1,,1
1,1,1,1,1,1,1,1,1,1,,1
1,1,1,1,1,1,1,1,1,1,,1
1,1,1,1,1,1,1,1,1,1,,1
1,1,1,1,1,1,1,1,1,1,,1
1,1,1,1,1,1,1,1,1,1,,1
1,1,1,1,1,1,1,1,1,1,,1
1,1,1,1,1,1,1,1,1,1,,1
1,1,1,1,1,1,1,1,1,1,,1
1,1,1,1,1,1,0.99,1,1,1,,0.999
1,1,1,1,1,1,1,0.99,1,1,,0.999
1,1,1,1,1,1,0.99,0.99,1,1,,0.998
1,1,1,1,1,1,1,0.99,0.99,1,,0.998
1,1,1,1,1,1,1,0.99,0.99,0.99,,0.997
1,1,1,1,1,1,1,0.97,0.98,0.98,,0.993
0.99,1,1,0.99,1,1,1,0.97,1,0.98,,0.993
0.98,0.99,1,1,1,0.99,0.98,0.96,0.99,0.99,,0.988
0.98,0.98,1,1,1,0.99,0.98,0.97,0.99,0.99,,0.988
0.98,0.98,0.99,0.99,0.99,0.97,0.97,0.96,0.99,0.95,,0.977
0.97,0.98,0.98,0.98,0.99,0.97,0.96,0.96,0.99,0.95,,0.973
0.96,0.98,0.98,0.98,0.99,0.98,0.95,0.96,0.98,0.95,,0.971
0.96,0.96,0.98,0.98,0.99,0.98,0.95,0.97,0.98,0.94,,0.969
0.96,0.96,0.98,0.98,0.99,0.97,0.93,0.97,0.98,0.94,,0.966
0.96,0.94,0.98,0.98,0.97,0.96,0.91,0.97,0.98,0.95,,0.96
0.97,0.93,0.96,0.99,0.97,0.95,0.9,0.96,0.96,0.95,,0.954
0.95,0.91,0.96,0.99,0.98,0.96,0.91,0.96,0.96,0.95,,0.953
0.94,0.91,0.96,0.99,0.98,0.97,0.9,0.94,0.95,0.94,,0.948
0.95,0.91,0.97,0.96,0.97,0.97,0.9,0.94,0.96,0.94,,0.947
0.95,0.91,0.97,0.93,0.98,0.97,0.88,0.96,0.94,0.94,,0.943
0.95,0.91,0.97,0.93,0.97,0.97,0.87,0.93,0.94,0.94,,0.938
0.94,0.9,0.96,0.93,0.97,0.97,0.88,0.93,0.94,0.92,,0.934
0.94,0.9,0.96,0.93,0.92,0.96,0.88,0.92,0.92,0.92,,0.925
0.95,0.87,0.95,0.93,0.91,0.96,0.87,0.92,0.91,0.9,,0.917
1,0.86,0.95,0.93,0.89,0.94,0.86,0.91,0.91,0.9,,0.915
1,0.84,0.94,0.93,0.89,0.94,0.87,0.91,0.91,0.91,,0.914
1,0.89,0.92,0.91,0.88,0.93,0.87,0.91,0.91,0.88,,0.91
1,0.87,0.94,0.91,0.88,0.94,0.82,0.91,0.91,0.88,,0.906
1,0.81,0.92,0.9,0.9,0.95,0.8,0.91,0.91,0.84,,0.894
1,0.81,0.92,0.87,0.91,0.92,0.79,0.9,0.91,0.84,,0.887
1,0.82,0.9,0.87,0.91,0.93,0.77,0.91,0.91,0.83,,0.885
1,0.83,0.86,0.87,0.88,0.92,0.77,0.91,0.89,0.83,,0.876
1,0.83,0.86,0.88,0.86,0.9,0.77,0.9,0.88,0.83,,0.871
1,0.82,0.86,0.88,0.84,0.88,0.77,0.9,0.87,0.81,,0.863
0.89,0.78,0.86,0.88,0.84,0.86,0.77,0.89,0.87,0.81,,0.845
0.89,0.78,0.82,0.87,0.81,0.83,0.77,0.88,0.85,0.8,,0.83
0.89,0.78,0.83,0.83,0.82,0.83,0.76,0.88,0.85,0.83,,0.83
0.89,0.77,0.83,0.83,0.85,0.81,0.82,0.88,0.87,0.79,,0.834
0.88,0.78,0.83,0.82,0.82,0.85,0.82,0.87,0.84,0.76,,0.827
0.88,0.78,0.82,0.81,0.82,0.84,0.82,0.87,0.84,0.76,,0.824
0.87,0.78,0.79,0.79,0.8,0.84,0.82,0.87,0.84,0.75,,0.815
0.86,0.76,0.75,0.79,0.79,0.84,0.82,0.87,0.84,0.74,,0.806
0.86,0.74,0.75,0.8,0.81,0.84,0.82,0.86,0.83,0.72,,0.803
0.83,0.73,0.74,0.76,0.81,0.85,0.82,0.84,0.83,0.72,,0.793
0.83,0.73,0.75,0.73,0.81,0.84,0.82,0.84,0.83,0.72,,0.79
0.81,0.73,0.71,0.73,0.8,0.84,0.82,0.83,0.83,0.72,,0.782
0.81,0.73,0.71,0.73,0.79,0.84,0.84,0.83,0.76,0.72,,0.776
0.81,0.73,0.71,0.73,0.75,0.8,0.84,0.83,0.76,0.72,,0.768
0.8,0.73,0.7,0.73,0.8,0.8,0.82,0.8,0.76,0.72,,0.766
0.7,0.7,0.7,0.73,0.76,0.8,0.82,0.79,0.76,0.72,,0.748
0.69,0.7,0.7,0.73,0.76,0.8,0.82,0.79,0.75,0.72,,0.746
0.68,0.71,0.7,0.74,0.77,0.77,0.82,0.79,0.75,0.74,,0.747
0.68,0.71,0.7,0.72,0.77,0.76,0.8,0.74,0.73,0.76,,0.737
0.68,0.71,0.67,0.72,0.76,0.71,0.78,0.74,0.73,0.73,,0.723
0.68,0.67,0.67,0.72,0.74,0.73,0.76,0.77,0.73,0.71,,0.718
0.68,0.64,0.67,0.72,0.75,0.73,0.75,0.75,0.73,0.71,,0.713
0.68,0.63,0.67,0.7,0.7,0.72,0.75,0.75,0.74,0.67,,0.701
0.69,0.63,0.67,0.7,0.68,0.72,0.73,0.75,0.74,0.66,,0.697
0.71,0.63,0.67,0.68,0.71,0.7,0.73,0.68,0.71,0.66,,0.688
0.71,0.63,0.66,0.65,0.7,0.7,0.72,0.68,0.71,0.66,,0.682
0.71,0.6,0.66,0.66,0.7,0.74,0.72,0.64,0.72,0.66,,0.681
0.71,0.6,0.64,0.66,0.72,0.74,0.71,0.65,0.71,0.64,,0.678
0.71,0.6,0.66,0.66,0.72,0.74,0.71,0.64,0.71,0.64,,0.679
0.72,0.6,0.65,0.66,0.72,0.74,0.67,0.64,0.67,0.65,,0.672
0.72,0.6,0.65,0.66,0.72,0.7,0.67,0.64,0.67,0.65,,0.668
0.72,0.6,0.66,0.66,0.71,0.7,0.65,0.64,0.65,0.66,,0.665
0.72,0.59,0.65,0.66,0.71,0.7,0.65,0.64,0.66,0.66,,0.664
0.72,0.59,0.62,0.66,0.66,0.7,0.67,0.63,0.66,0.66,,0.657
0.68,0.59,0.61,0.66,0.66,0.68,0.67,0.59,0.66,0.66,,0.646
0.68,0.59,0.62,0.66,0.67,0.62,0.67,0.59,0.65,0.66,,0.641
0.68,0.59,0.62,0.65,0.66,0.61,0.67,0.59,0.65,0.66,,0.638
0.68,0.58,0.62,0.62,0.66,0.62,0.68,0.43,0.62,0.65,,0.616
0.68,0.58,0.62,0.62,0.65,0.62,0.66,0.43,0.61,0.65,,0.612
0.68,0.57,0.62,0.59,0.64,0.65,0.66,0.43,0.61,0.65,,0.61
0.68,0.56,0.62,0.59,0.63,0.69,0.66,0.43,0.6,0.65,,0.611
0.68,0.57,0.62,0.54,0.63,0.69,0.67,0.43,0.6,0.64,,0.607
0.65,0.52,0.62,0.54,0.63,0.7,0.67,0.43,0.62,0.62,,0.6
0.66,0.52,0.62,0.52,0.63,0.64,0.67,0.41,0.62,0.6,,0.589
0.67,0.51,0.62,0.52,0.62,0.63,0.67,0.41,0.62,0.6,,0.587
0.67,0.51,0.62,0.53,0.62,0.63,0.67,0.42,0.61,0.59,,0.587
0.67,0.51,0.62,0.49,0.62,0.63,0.67,0.42,0.61,0.59,,0.583
0.66,0.5,0.62,0.5,0.62,0.63,0.65,0.42,0.61,0.59,,0.58
0.65,0.53,0.62,0.5,0.59,0.63,0.65,0.42,0.61,0.59,,0.579
0.63,0.53,0.58,0.5,0.59,0.64,0.63,0.42,0.63,0.59,,0.574
0.62,0.53,0.58,0.5,0.59,0.64,0.63,0.42,0.62,0.59,,0.572
0.62,0.53,0.58,0.49,0.56,0.64,0.64,0.42,0.61,0.59,,0.568
0.61,0.53,0.58,0.5,0.57,0.64,0.61,0.42,0.61,0.59,,0.566
0.61,0.54,0.58,0.5,0.57,0.64,0.63,0.42,0.61,0.59,,0.569
0.54,0.54,0.58,0.41,0.56,0.64,0.63,0.42,0.61,0.59,,0.552
0.52,0.52,0.58,0.41,0.56,0.62,0.63,0.42,0.61,0.55,,0.542
0.52,0.52,0.58,0.41,0.56,0.58,0.59,0.42,0.61,0.56,,0.535
